destination,variant,routeCode,startTime,endTime,transitDay,transitDayNumber,vehicle Id,,,,,,,
Shivajinagar To Katraj,DOWN,2,10:50:00,11:35:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,11:05:00,11:50:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,11:10:00,11:55:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,11:30:00,12:15:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,11:44:00,12:29:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,12:00:00,12:45:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,12:10:00,12:55:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,12:40:00,13:25:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,12:45:00,13:30:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,12:55:00,13:40:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,13:00:00,13:45:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,13:05:00,13:50:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,13:10:00,13:55:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,13:15:00,14:00:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,13:20:00,14:05:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,13:25:00,14:10:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,13:40:00,14:25:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,13:45:00,14:30:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,13:50:00,14:35:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,14:05:00,14:50:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,14:20:00,15:05:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,14:35:00,15:20:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,14:45:00,15:30:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,14:45:00,15:30:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,14:50:00,15:35:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,15:00:00,15:45:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,15:15:00,16:00:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,15:20:00,16:05:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,15:35:00,16:20:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,15:45:00,16:30:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,15:50:00,16:35:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,16:10:00,16:55:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,16:25:00,17:10:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,16:45:00,17:30:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,17:05:00,17:50:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,17:15:00,18:00:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,17:25:00,18:10:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,17:40:00,18:25:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,17:45:00,18:30:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,17:55:00,18:40:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,18:05:00,18:50:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,18:15:00,19:00:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,18:25:00,19:10:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,18:30:00,19:15:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,18:50:00,19:35:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,18:55:00,19:40:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,19:00:00,19:45:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,19:10:00,19:55:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,19:15:00,20:00:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,19:20:00,20:05:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,19:25:00,20:10:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,19:30:00,20:15:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,19:35:00,20:20:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,19:40:00,20:25:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,19:50:00,20:35:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,20:05:00,20:50:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,20:15:00,21:00:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,20:20:00,21:05:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,20:40:00,21:25:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,21:05:00,21:50:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,21:10:00,21:55:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,21:15:00,22:00:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,21:25:00,22:10:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,21:35:00,22:20:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,21:40:00,22:25:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,21:45:00,22:30:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,21:50:00,22:35:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,22:00:00,22:45:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,22:00:00,22:45:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,22:15:00,23:00:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,22:25:00,23:10:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,22:30:00,23:15:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,22:40:00,23:25:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,22:45:00,23:30:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,22:55:00,23:40:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,23:05:00,23:50:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,23:15:00,00:00:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,23:35:00,00:20:00,Normal,1234567,,,,,,,,
Shivajinagar To Katraj,DOWN,2,23:55:00,00:40:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,3,06:00:00,06:40:00,Normal,1234567,,,00:40:00,,,,,
Swargate To Pune Station,UP,3,07:50:00,08:30:00,Normal,1234567,,,00:40:00,,,,,
Swargate To Pune Station,UP,3,09:10:00,09:55:00,Normal,1234567,,,00:45:00,,,,,
Swargate To Pune Station,UP,3,10:40:00,11:25:00,Normal,1234567,,,00:45:00,,,,,
Swargate To Pune Station,UP,3,12:10:00,12:55:00,Normal,1234567,,,00:45:00,,,,,
Swargate To Pune Station,UP,3,14:30:00,15:10:00,Normal,1234567,,,00:40:00,,,,,
Swargate To Pune Station,UP,3,15:50:00,16:30:00,Normal,1234567,,,00:40:00,,,,,
Swargate To Pune Station,UP,3,17:15:00,18:00:00,Normal,1234567,,,00:45:00,,,,,
Swargate To Pune Station,UP,3,18:45:00,19:30:00,Normal,1234567,,,00:45:00,,,,,
Swargate To Pune Station,UP,3,20:45:00,21:25:00,Normal,1234567,,,00:40:00,,,,,
Pune Station To Swargate,DOWN,3,06:40:00,07:20:00,Normal,1234567,,,,,,,,
Pune Station To Swargate,DOWN,3,08:30:00,09:10:00,Normal,1234567,,,,,,,,
Pune Station To Swargate,DOWN,3,09:55:00,10:35:00,Normal,1234567,,,,,,,,
Pune Station To Swargate,DOWN,3,11:25:00,12:05:00,Normal,1234567,,,,,,,,
Pune Station To Swargate,DOWN,3,12:55:00,13:35:00,Normal,1234567,,,,,,,,
Pune Station To Swargate,DOWN,3,15:10:00,15:50:00,Normal,1234567,,,,,,,,
Pune Station To Swargate,DOWN,3,16:30:00,17:10:00,Normal,1234567,,,,,,,,
Pune Station To Swargate,DOWN,3,18:00:00,18:40:00,Normal,1234567,,,,,,,,
Pune Station To Swargate,DOWN,3,19:30:00,20:10:00,Normal,1234567,,,,,,,,
Pune Station To Swargate,DOWN,3,21:25:00,22:05:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,05:55:00,06:20:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,06:05:00,06:30:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,06:15:00,06:40:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,06:20:00,06:45:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,06:30:00,06:55:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,06:40:00,07:05:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,06:45:00,07:10:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,06:50:00,07:15:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,06:55:00,07:20:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,07:00:00,07:25:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,07:05:00,07:30:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,07:10:00,07:35:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,07:15:00,07:40:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,07:20:00,07:45:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,07:25:00,07:50:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,07:30:00,07:55:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,07:35:00,08:00:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,07:40:00,08:05:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,07:45:00,08:10:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,07:50:00,08:15:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,07:55:00,08:20:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,08:00:00,08:25:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,08:05:00,08:30:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,08:10:00,08:35:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,08:15:00,08:40:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,08:20:00,08:45:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,08:25:00,08:50:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,08:30:00,08:55:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,08:35:00,09:00:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,08:40:00,09:05:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,08:45:00,09:10:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,08:50:00,09:15:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,08:55:00,09:20:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,09:00:00,09:25:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,09:05:00,09:30:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,09:10:00,09:35:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,09:15:00,09:40:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,09:20:00,09:45:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,09:25:00,09:50:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,09:30:00,09:55:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,09:35:00,10:00:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,09:40:00,10:05:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,09:45:00,10:10:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,09:50:00,10:15:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,09:55:00,10:20:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,10:00:00,10:25:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,10:05:00,10:30:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,10:10:00,10:35:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,10:15:00,10:40:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,10:20:00,10:45:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,10:25:00,10:50:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,10:30:00,10:55:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,10:40:00,11:05:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,10:50:00,11:15:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,11:05:00,11:30:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,11:15:00,11:40:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,11:25:00,11:50:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,11:30:00,11:55:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,11:35:00,12:00:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,11:40:00,12:05:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,11:45:00,12:10:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,11:50:00,12:15:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,11:55:00,12:20:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,12:00:00,12:25:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,12:05:00,12:30:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,12:10:00,12:35:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,12:15:00,12:40:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,12:20:00,12:45:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,12:25:00,12:50:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,12:30:00,12:55:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,12:35:00,13:00:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,12:40:00,13:05:00,Normal,1234567,,,,,,,,
Swargate To Pune Station,UP,5,12:45:00,13:10:00,Normal,1234567,,,,,,,,
