SrNo,routeId,tripId,startTime,EndTime,Duration
286,5-U,5-U-60,11:40:00,12:05:00,25
287,5-U,5-U-61,11:45:00,12:10:00,25
288,5-U,5-U-62,11:50:00,12:15:00,25
289,5-U,5-U-63,11:55:00,12:20:00,25
290,5-U,5-U-64,12:00:00,12:25:00,25
291,5-U,5-U-65,12:05:00,12:30:00,25
292,5-U,5-U-66,12:10:00,12:35:00,25
293,5-U,5-U-67,12:15:00,12:40:00,25
294,5-U,5-U-68,12:20:00,12:45:00,25
295,5-U,5-U-69,12:25:00,12:50:00,25
296,5-U,5-U-70,12:30:00,12:55:00,25
297,5-U,5-U-71,12:35:00,13:00:00,25
298,5-U,5-U-72,12:40:00,13:05:00,25
299,5-U,5-U-73,12:45:00,13:10:00,25
300,5-U,5-U-74,12:50:00,13:15:00,25
301,5-U,5-U-75,12:55:00,13:20:00,25
302,5-U,5-U-76,13:00:00,13:25:00,25
303,5-U,5-U-77,13:10:00,13:35:00,25
304,5-U,5-U-78,13:20:00,13:45:00,25
305,5-U,5-U-79,13:30:00,13:55:00,25
306,5-U,5-U-80,13:35:00,14:00:00,25
307,5-U,5-U-81,13:40:00,14:05:00,25
308,5-U,5-U-82,13:45:00,14:10:00,25
309,5-U,5-U-83,13:50:00,14:15:00,25
310,5-U,5-U-84,13:55:00,14:20:00,25
311,5-U,5-U-85,14:05:00,14:30:00,25
312,5-U,5-U-86,14:15:00,14:40:00,25
313,5-U,5-U-87,14:20:00,14:45:00,25
314,5-U,5-U-88,14:25:00,14:50:00,25
315,5-U,5-U-89,14:30:00,14:55:00,25
316,5-U,5-U-90,14:30:00,14:55:00,25
317,5-U,5-U-91,14:35:00,15:00:00,25
318,5-U,5-U-92,14:40:00,15:05:00,25
319,5-U,5-U-93,14:45:00,15:10:00,25
320,5-U,5-U-94,14:50:00,15:15:00,25
321,5-U,5-U-95,14:55:00,15:20:00,25
322,5-U,5-U-96,15:00:00,15:25:00,25
323,5-U,5-U-97,15:05:00,15:30:00,25
324,5-U,5-U-98,15:10:00,15:35:00,25
325,5-U,5-U-99,15:15:00,15:40:00,25
326,5-U,5-U-100,15:20:00,15:45:00,25
327,5-U,5-U-101,15:25:00,15:50:00,25
328,5-U,5-U-102,15:30:00,15:55:00,25
329,5-U,5-U-103,15:35:00,16:00:00,25
330,5-U,5-U-104,15:40:00,16:05:00,25
331,5-U,5-U-105,15:45:00,16:10:00,25
332,5-U,5-U-106,15:50:00,16:15:00,25
333,5-U,5-U-107,15:55:00,16:20:00,25
334,5-U,5-U-108,16:05:00,16:30:00,25
335,5-U,5-U-109,16:10:00,16:35:00,25
336,5-U,5-U-110,16:15:00,16:40:00,25
337,5-U,5-U-111,16:20:00,16:45:00,25
338,5-U,5-U-112,16:25:00,16:50:00,25
339,5-U,5-U-113,16:35:00,17:00:00,25
340,5-U,5-U-114,16:40:00,17:05:00,25
341,5-U,5-U-115,16:45:00,17:10:00,25
342,5-U,5-U-116,16:50:00,17:15:00,25
343,5-U,5-U-117,16:55:00,17:20:00,25
344,5-U,5-U-118,17:05:00,17:30:00,25
345,5-U,5-U-119,17:10:00,17:35:00,25
346,5-U,5-U-120,17:15:00,17:40:00,25
347,5-U,5-U-121,17:20:00,17:45:00,25
348,5-U,5-U-122,17:25:00,17:50:00,25
349,5-U,5-U-123,17:35:00,18:00:00,25
350,5-U,5-U-124,17:40:00,18:05:00,25
351,5-U,5-U-125,17:45:00,18:10:00,25
352,5-U,5-U-126,17:45:00,18:10:00,25
353,5-U,5-U-127,17:50:00,18:15:00,25
354,5-U,5-U-128,17:55:00,18:20:00,25
355,5-U,5-U-129,18:05:00,18:30:00,25
356,5-U,5-U-130,18:10:00,18:35:00,25
357,5-U,5-U-131,18:15:00,18:40:00,25
358,5-U,5-U-132,18:20:00,18:45:00,25
359,5-U,5-U-133,18:25:00,18:50:00,25
360,5-U,5-U-134,18:35:00,19:00:00,25
361,5-U,5-U-135,18:45:00,19:10:00,25
362,5-U,5-U-136,18:55:00,19:20:00,25
363,5-U,5-U-137,19:10:00,19:35:00,25
364,5-U,5-U-138,19:20:00,19:45:00,25
365,5-U,5-U-139,19:30:00,19:55:00,25
366,5-U,5-U-140,19:40:00,20:05:00,25
367,5-U,5-U-141,19:45:00,20:10:00,25
368,5-U,5-U-142,19:50:00,20:15:00,25
369,5-U,5-U-143,19:55:00,20:20:00,25
370,5-U,5-U-144,20:05:00,20:30:00,25
371,5-U,5-U-145,20:10:00,20:35:00,25
372,5-U,5-U-146,20:15:00,20:40:00,25
373,5-U,5-U-147,20:20:00,20:45:00,25
374,5-U,5-U-148,20:25:00,20:50:00,25
375,5-U,5-U-149,20:35:00,21:00:00,25
376,5-U,5-U-150,20:40:00,21:05:00,25
377,5-U,5-U-151,20:45:00,21:10:00,25
378,5-U,5-U-152,20:50:00,21:15:00,25
379,5-U,5-U-153,20:55:00,21:20:00,25
380,5-U,5-U-154,21:05:00,21:30:00,25
381,5-U,5-U-155,21:10:00,21:35:00,25
382,5-U,5-U-156,21:15:00,21:40:00,25
383,5-U,5-U-157,21:20:00,21:45:00,25
384,5-U,5-U-158,21:25:00,21:50:00,25
385,5-U,5-U-159,21:40:00,22:05:00,25
386,5-U,5-U-160,21:50:00,22:15:00,25
387,5-U,5-U-161,22:10:00,22:35:00,25
388,5-U,5-U-162,22:20:00,22:45:00,25
389,5-D,5-D-1,05:55:00,06:20:00,25
390,5-D,5-D-2,06:05:00,06:30:00,25
391,5-D,5-D-3,06:15:00,06:40:00,25
392,5-D,5-D-4,06:20:00,06:45:00,25
393,5-D,5-D-5,06:30:00,06:55:00,25
394,5-D,5-D-6,06:40:00,07:05:00,25
395,5-D,5-D-7,06:45:00,07:10:00,25
396,5-D,5-D-8,06:50:00,07:15:00,25
397,5-D,5-D-9,06:55:00,07:20:00,25
398,5-D,5-D-10,07:00:00,07:25:00,25
399,5-D,5-D-11,07:05:00,07:30:00,25
400,5-D,5-D-12,07:10:00,07:35:00,25
401,5-D,5-D-13,07:10:00,07:35:00,25
402,5-D,5-D-14,07:15:00,07:40:00,25
403,5-D,5-D-15,07:25:00,07:50:00,25
404,5-D,5-D-16,07:30:00,07:55:00,25
405,5-D,5-D-17,07:35:00,08:00:00,25
406,5-D,5-D-18,07:40:00,08:05:00,25
407,5-D,5-D-19,07:45:00,08:10:00,25
408,5-D,5-D-20,07:50:00,08:15:00,25
409,5-D,5-D-21,07:55:00,08:20:00,25
410,5-D,5-D-22,08:00:00,08:25:00,25
411,5-D,5-D-23,08:05:00,08:30:00,25
412,5-D,5-D-24,08:10:00,08:35:00,25
413,5-D,5-D-25,08:15:00,08:40:00,25
414,5-D,5-D-26,08:20:00,08:45:00,25
415,5-D,5-D-27,08:25:00,08:50:00,25
416,5-D,5-D-28,08:30:00,08:55:00,25
417,5-D,5-D-29,08:35:00,09:00:00,25
418,5-D,5-D-30,08:40:00,09:05:00,25
419,5-D,5-D-31,08:45:00,09:10:00,25
420,5-D,5-D-32,08:50:00,09:15:00,25
421,5-D,5-D-33,08:55:00,09:20:00,25
422,5-D,5-D-34,09:00:00,09:25:00,25
423,5-D,5-D-35,09:05:00,09:30:00,25
424,5-D,5-D-36,09:10:00,09:35:00,25
425,5-D,5-D-37,09:15:00,09:40:00,25
426,5-D,5-D-38,09:20:00,09:45:00,25
427,5-D,5-D-39,09:25:00,09:50:00,25
428,5-D,5-D-40,09:30:00,09:55:00,25
429,5-D,5-D-41,09:35:00,10:00:00,25
430,5-D,5-D-42,09:40:00,10:05:00,25
431,5-D,5-D-43,09:45:00,10:10:00,25
432,5-D,5-D-44,09:50:00,10:15:00,25
433,5-D,5-D-45,09:55:00,10:20:00,25
434,5-D,5-D-46,10:00:00,10:25:00,25
435,5-D,5-D-47,10:00:00,10:25:00,25
436,5-D,5-D-48,10:05:00,10:30:00,25
437,5-D,5-D-49,10:10:00,10:35:00,25
438,5-D,5-D-50,10:15:00,10:40:00,25
439,5-D,5-D-51,10:20:00,10:45:00,25
440,5-D,5-D-52,10:25:00,10:50:00,25
441,5-D,5-D-53,10:30:00,10:55:00,25
442,5-D,5-D-54,10:35:00,11:00:00,25
443,5-D,5-D-55,10:40:00,11:05:00,25
444,5-D,5-D-56,10:45:00,11:10:00,25
445,5-D,5-D-57,10:50:00,11:15:00,25
446,5-D,5-D-58,10:55:00,11:20:00,25
447,5-D,5-D-59,11:05:00,11:30:00,25
448,5-D,5-D-60,11:15:00,11:40:00,25
449,5-D,5-D-61,11:30:00,11:55:00,25
450,5-D,5-D-62,11:40:00,12:05:00,25
451,5-D,5-D-63,11:50:00,12:15:00,25
452,5-D,5-D-64,11:55:00,12:20:00,25
453,5-D,5-D-65,12:00:00,12:25:00,25
454,5-D,5-D-66,12:05:00,12:30:00,25
455,5-D,5-D-67,12:10:00,12:35:00,25
456,5-D,5-D-68,12:15:00,12:40:00,25
457,5-D,5-D-69,12:20:00,12:45:00,25
458,5-D,5-D-70,12:25:00,12:50:00,25
459,5-D,5-D-71,12:30:00,12:55:00,25
460,5-D,5-D-72,12:35:00,13:00:00,25
461,5-D,5-D-73,12:40:00,13:05:00,25
462,5-D,5-D-74,12:45:00,13:10:00,25
463,5-D,5-D-75,12:50:00,13:15:00,25
464,5-D,5-D-76,12:55:00,13:20:00,25
465,5-D,5-D-77,13:00:00,13:25:00,25
466,5-D,5-D-78,13:10:00,13:35:00,25
467,5-D,5-D-79,13:20:00,13:45:00,25
468,5-D,5-D-80,13:30:00,13:55:00,25
469,5-D,5-D-81,13:35:00,14:00:00,25
470,5-D,5-D-82,13:40:00,14:05:00,25
471,5-D,5-D-83,13:45:00,14:10:00,25
472,5-D,5-D-84,13:50:00,14:15:00,25
473,5-D,5-D-85,13:55:00,14:20:00,25
474,5-D,5-D-86,14:00:00,14:25:00,25
475,5-D,5-D-87,14:05:00,14:30:00,25
476,5-D,5-D-88,14:15:00,14:40:00,25
477,5-D,5-D-89,14:20:00,14:45:00,25
478,5-D,5-D-90,14:25:00,14:50:00,25
479,5-D,5-D-91,14:30:00,14:55:00,25
480,5-D,5-D-92,14:35:00,15:00:00,25
481,5-D,5-D-93,14:40:00,15:05:00,25
482,5-D,5-D-94,14:45:00,15:10:00,25
483,5-D,5-D-95,14:50:00,15:15:00,25
484,5-D,5-D-96,14:55:00,15:20:00,25
485,5-D,5-D-97,15:00:00,15:25:00,25
486,5-D,5-D-98,15:05:00,15:30:00,25
487,5-D,5-D-99,15:10:00,15:35:00,25
488,5-D,5-D-100,15:15:00,15:40:00,25
489,5-D,5-D-101,15:20:00,15:45:00,25
490,5-D,5-D-102,15:25:00,15:50:00,25
491,5-D,5-D-103,15:30:00,15:55:00,25
492,5-D,5-D-104,15:35:00,16:00:00,25
493,5-D,5-D-105,15:40:00,16:05:00,25
494,5-D,5-D-106,15:45:00,16:10:00,25
495,5-D,5-D-107,15:50:00,16:15:00,25
496,5-D,5-D-108,15:55:00,16:20:00,25
497,5-D,5-D-109,16:05:00,16:30:00,25
498,5-D,5-D-110,16:10:00,16:35:00,25
499,5-D,5-D-111,16:15:00,16:40:00,25
500,5-D,5-D-112,16:20:00,16:45:00,25
501,5-D,5-D-113,16:25:00,16:50:00,25
502,5-D,5-D-114,16:35:00,17:00:00,25
503,5-D,5-D-115,16:40:00,17:05:00,25
504,5-D,5-D-116,16:45:00,17:10:00,25
505,5-D,5-D-117,16:50:00,17:15:00,25
506,5-D,5-D-118,16:55:00,17:20:00,25
507,5-D,5-D-119,17:05:00,17:30:00,25
508,5-D,5-D-120,17:10:00,17:35:00,25
509,5-D,5-D-121,17:15:00,17:40:00,25
510,5-D,5-D-122,17:20:00,17:45:00,25
511,5-D,5-D-123,17:25:00,17:50:00,25
512,5-D,5-D-124,17:35:00,18:00:00,25
513,5-D,5-D-125,17:40:00,18:05:00,25
514,5-D,5-D-126,17:45:00,18:10:00,25
515,5-D,5-D-127,17:50:00,18:15:00,25
516,5-D,5-D-128,17:55:00,18:20:00,25
517,5-D,5-D-129,18:05:00,18:30:00,25
518,5-D,5-D-130,18:10:00,18:35:00,25
519,5-D,5-D-131,18:15:00,18:40:00,25
520,5-D,5-D-132,18:20:00,18:45:00,25
521,5-D,5-D-133,18:25:00,18:50:00,25
522,5-D,5-D-134,18:35:00,19:00:00,25
523,5-D,5-D-135,18:40:00,19:05:00,25
524,5-D,5-D-136,18:45:00,19:10:00,25
525,5-D,5-D-137,18:50:00,19:15:00,25
526,5-D,5-D-138,18:55:00,19:20:00,25
527,5-D,5-D-139,19:05:00,19:30:00,25
528,5-D,5-D-140,19:15:00,19:40:00,25
529,5-D,5-D-141,19:25:00,19:50:00,25
530,5-D,5-D-142,19:40:00,20:05:00,25
531,5-D,5-D-143,19:50:00,20:15:00,25
532,5-D,5-D-144,20:05:00,20:30:00,25
533,5-D,5-D-145,20:10:00,20:35:00,25
534,5-D,5-D-146,20:15:00,20:40:00,25
535,5-D,5-D-147,20:20:00,20:45:00,25
